date,time,weather_description,temp_in_f,dewpt_in_f,humidity_in_%,pressure,precipitation_in_inches,wind_direction,wind_speed_in_mph
2018-01-01,00:00:00,Clear,16°F,6°F,64%,30.40,0 in.,W,0
2018-01-01,01:00:00,Clear,13°F,4°F,68%,30.39,0 in.,NW,0
2018-01-01,02:00:00,Clear,12°F,5°F,72%,30.39,0 in.,NW,0
2018-01-01,03:00:00,Clear,12°F,4°F,71%,30.40,0 in.,ENE,0
2018-01-01,04:00:00,Clear,12°F,4°F,71%,30.40,0 in.,S,0
2018-01-01,05:00:00,Clear,14°F,5°F,67%,30.41,0 in.,N,0
2018-01-01,06:00:00,Clear,15°F,5°F,64%,30.42,0 in.,NW,0
2018-01-01,07:00:00,Clear,15°F,5°F,64%,30.44,0 in.,N,3
2018-01-01,08:00:00,Clear,15°F,5°F,64%,30.46,0 in.,NW,0
2018-01-01,09:00:00,Clear,17°F,6°F,60%,30.47,0 in.,NNW,1
2018-01-01,10:00:00,Clear,19°F,7°F,59%,30.49,0 in.,N,5
2018-01-01,11:00:00,Partly Cloudy,20°F,7°F,56%,30.48,0 in.,NNE,2
2018-01-01,12:00:00,Cloudy,22°F,8°F,55%,30.45,0 in.,WNW,1
2018-01-01,13:00:00,Partly Cloudy,22°F,7°F,52%,30.42,0 in.,WSW,0
2018-01-01,14:00:00,Mostly Cloudy,24°F,7°F,48%,30.40,0 in.,WNW,1
2018-01-01,15:00:00,Partly Cloudy,24°F,6°F,46%,30.40,0 in.,NW,0
2018-01-01,16:00:00,Clear,23°F,5°F,45%,30.40,0 in.,NNW,2
2018-01-01,17:00:00,Partly Cloudy,21°F,4°F,47%,30.41,0 in.,NNW,0
2018-01-01,18:00:00,Partly Cloudy,20°F,4°F,48%,30.42,0 in.,NW,0
2018-01-01,19:00:00,Clear,20°F,4°F,48%,30.43,0 in.,NW,0
2018-01-01,20:00:00,Clear,18°F,2°F,50%,30.46,0 in.,N,5
2018-01-01,21:00:00,Clear,17°F,3°F,54%,30.48,0 in.,NW,0
2018-01-01,22:00:00,Mostly Cloudy,14°F,3°F,60%,30.49,0 in.,NNW,1
2018-01-01,23:00:00,Partly Cloudy,14°F,2°F,58%,30.50,0 in.,NNW,0
2018-01-02,00:00:00,Clear,13°F,1°F,58%,30.50,0 in.,NNW,0
2018-01-02,01:00:00,Clear,11°F,1°F,63%,30.49,0 in.,NW,0
2018-01-02,02:00:00,Clear,11°F,1°F,63%,30.50,0 in.,SSE,0
2018-01-02,03:00:00,Clear,11°F,1°F,63%,30.52,0 in.,NW,0
2018-01-02,04:00:00,Clear,11°F,1°F,63%,30.52,0 in.,NW,0
2018-01-02,05:00:00,Clear,12°F,1°F,59%,30.52,0 in.,N,0
2018-01-02,06:00:00,Clear,10°F,0°F,64%,30.52,0 in.,N,0
2018-01-02,07:00:00,Clear,7°F,-1°F,70%,30.53,0 in.,N,0
2018-01-02,08:00:00,Clear,12°F,0°F,58%,30.54,0 in.,W,0
2018-01-02,09:00:00,Clear,13°F,3°F,63%,30.55,0 in.,SW,0
2018-01-02,10:00:00,Clear,15°F,3°F,59%,30.56,0 in.,WSW,0
2018-01-02,11:00:00,Clear,18°F,6°F,59%,30.55,0 in.,SSE,0
2018-01-02,12:00:00,Clear,20°F,6°F,55%,30.51,0 in.,SE,2
2018-01-02,13:00:00,Clear,24°F,9°F,51%,30.47,0 in.,WSW,0
2018-01-02,14:00:00,Clear,25°F,8°F,47%,30.44,0 in.,WNW,1
2018-01-02,15:00:00,Clear,29°F,11°F,46%,30.41,0 in.,S,1
2018-01-02,16:00:00,Clear,28°F,10°F,46%,30.40,0 in.,S,0
2018-01-02,17:00:00,Clear,25°F,8°F,47%,30.39,0 in.,S,0
2018-01-02,18:00:00,Clear,21°F,8°F,56%,30.39,0 in.,S,0
2018-01-02,19:00:00,Clear,18°F,8°F,65%,30.39,0 in.,S,0
2018-01-02,20:00:00,Clear,15°F,8°F,72%,30.39,0 in.,SW,0
2018-01-02,21:00:00,Clear,13°F,7°F,76%,30.38,0 in.,WNW,0
2018-01-02,22:00:00,Clear,10°F,5°F,81%,30.37,0 in.,WNW,0
2018-01-02,23:00:00,Clear,9°F,5°F,84%,30.36,0 in.,NW,0
2018-01-03,00:00:00,Clear,9°F,5°F,83%,30.35,0 in.,WNW,0
2018-01-03,01:00:00,Clear,7°F,4°F,86%,30.33,0 in.,WNW,0
2018-01-03,02:00:00,Clear,6°F,3°F,86%,30.33,0 in.,WNW,0
2018-01-03,03:00:00,Clear,5°F,2°F,87%,30.32,0 in.,WNW,0
2018-01-03,04:00:00,Clear,5°F,2°F,88%,30.29,0 in.,WNW,0
2018-01-03,05:00:00,Clear,4°F,1°F,87%,30.28,0 in.,WNW,0
2018-01-03,06:00:00,Clear,4°F,1°F,87%,30.27,0 in.,WNW,0
2018-01-03,07:00:00,Clear,3°F,0°F,87%,30.28,0 in.,WNW,0
2018-01-03,08:00:00,Clear,3°F,0°F,87%,30.27,0 in.,WNW,0
2018-01-03,09:00:00,Clear,8°F,5°F,89%,30.27,0 in.,WNW,0
2018-01-03,10:00:00,Clear,17°F,12°F,80%,30.27,0 in.,WNW,0
2018-01-03,11:00:00,Clear,22°F,11°F,62%,30.23,0 in.,SE,0
2018-01-03,12:00:00,Clear,24°F,11°F,58%,30.19,0 in.,ESE,0
2018-01-03,13:00:00,Clear,28°F,12°F,51%,30.13,0 in.,SSE,0
2018-01-03,14:00:00,Partly Cloudy,30°F,13°F,48%,30.11,0 in.,SE,1
2018-01-03,15:00:00,Cloudy,29°F,13°F,50%,30.11,0 in.,SW,0
2018-01-03,16:00:00,Cloudy,30°F,15°F,54%,30.09,0 in.,WSW,0
2018-01-03,17:00:00,Mostly Cloudy,28°F,15°F,57%,30.04,0 in.,WSW,0
2018-01-03,18:00:00,Clear,27°F,15°F,60%,30.05,0 in.,WSW,0
2018-01-03,19:00:00,Clear,27°F,16°F,62%,30.04,0 in.,NNW,0
2018-01-03,20:00:00,Cloudy,27°F,17°F,64%,30.02,0 in.,NNW,0
2018-01-03,21:00:00,Cloudy,26°F,16°F,65%,29.99,0 in.,NNW,0
2018-01-03,22:00:00,Cloudy,26°F,17°F,68%,29.96,0 in.,NNW,0
2018-01-03,23:00:00,Cloudy,26°F,18°F,71%,29.93,0 in.,NNW,0
2018-01-04,00:00:00,Cloudy,27°F,15°F,60%,29.89,0 in.,NNE,0
2018-01-04,01:00:00,Cloudy,27°F,14°F,58%,29.86,0 in.,ENE,0
2018-01-04,02:00:00,Cloudy,26°F,14°F,60%,29.84,0 in.,NNE,3
2018-01-04,03:00:00,Cloudy,26°F,13°F,58%,29.80,0 in.,ENE,1
2018-01-04,04:00:00,Cloudy,27°F,13°F,55%,29.75,0 in.,N,5
2018-01-04,05:00:00,Cloudy,26°F,12°F,55%,29.71,0 in.,N,6
2018-01-04,06:00:00,Cloudy,26°F,13°F,57%,29.69,0 in.,NW,6
2018-01-04,07:00:00,Cloudy,25°F,12°F,58%,29.67,0 in.,N,5
2018-01-04,08:00:00,Cloudy,24°F,13°F,62%,29.67,0 in.,N,5
2018-01-04,09:00:00,Cloudy,24°F,13°F,61%,29.70,0 in.,NW,1
2018-01-04,10:00:00,Cloudy,24°F,13°F,62%,29.73,0 in.,NNW,5
2018-01-04,11:00:00,Cloudy,24°F,13°F,62%,29.73,0 in.,N,2
2018-01-04,12:00:00,Cloudy,24°F,11°F,58%,29.70,0 in.,NNW,5
2018-01-04,13:00:00,Cloudy,26°F,13°F,56%,29.68,0 in.,NNW,3
2018-01-04,14:00:00,Cloudy,27°F,11°F,50%,29.67,0 in.,N,7
